trade_date,parsed_time,account,coin,closed_pnl,notional,classification,fg_index
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,7872.16,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,127.68,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,1150.63,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,1142.04,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,69.75,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,11.27,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,1151.77,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,272.0,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,368.0,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,100.0,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,11706.64,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,57.77,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,794.87,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,227.53,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,14835.57,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,792.71,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,776.86,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,166.55,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,160.69,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,1204.5,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,198.23,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,71.37,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,1142.6,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,127.29,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,1586.3,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,2335.03,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,2057.19,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,2469.92,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,752.34,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,1143.74,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,880.54,Greed,74.0
2024-10-27,2024-10-27 03:33:20,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,@107,0.0,14.96,Greed,74.0
